枫山快捷宾馆 , 西渡西渡镇扶港路388弄61号
泉都酒店式公寓(虬泾路店) , 九亭九亭虬泾路547号
陈记黄山面馆 , 外高桥和龙路1599-2号
科沿新世纪婚纱摄影 , 老闵行德宏路2526号
优悠奶站(大新店) , 崇明县其他富民街16号
川沪川烤鱼馆 , 浦江镇谈中路97弄19号
哈尼卡布 , 章贡区东郊路8
鲜花源 , 莘庄莘庄镇绿梅一村28号东侧
正宗川菜馆 , 嘉定镇胜辛路2517号E区12-13号
重庆鸡公煲 , 奉贤区新林路2235号
鲜肉月饼 , 金山卫龙皓路学府路口
蓝天社区生活馆 , 松江镇松东路蓝天新村193弄175号-16
永顺菜场家具 , 崇明县其他新开河路2楼
